,id,player_name,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
7596,9387,Vlasdilav Yakovlev,M S,6.0,102.0,0.5,0.5964951599016786,0.0,0.10814793966710565,3.0,2.5,0.5,0.0,0.5,0.5964951599016786,1.1918450305238366,0.5477520525455475
7597,7853,Vlatko Stojanovski,F S,6.0,104.0,0.0,0.2454119622707367,0.0,0.090429775416851,2.0,3.0,0.0,0.0,0.0,0.2454119622707367,0.3358417376875877,0.0
7598,5418,Vukasin Jovanovic,D S,12.25,1022.75,0.0,0.22099124127998948,0.25,0.15940227755345399,2.0,2.0,4.5,0.25,0.0,0.22099124127998948,2.355655745835975,2.2926489147357643
7599,768,Vurnon Anita,D M S,23.5,1701.5,0.5,0.18460385082289577,1.5,0.4262705654837191,8.0,9.5,4.5,0.0,0.5,0.18460385082289577,3.2288115764968097,2.893240644130856
7600,6611,Vyacheslav Grulev,F S,13.4,606.6,2.6,1.7631737994030119,0.4,0.8805048549547791,22.2,10.2,2.0,0.0,2.6,1.7631737994030119,2.886852582171559,0.6964627796784043
7601,5538,Vyacheslav Karavayev,D,19.666666666666668,1588.6666666666667,1.3333333333333333,1.0762373053779204,3.0,2.1385564810285964,12.666666666666666,15.666666666666666,2.0,0.0,1.3333333333333333,1.0762373053779204,7.831407533648114,6.189860675794383
7602,2910,Vyacheslav Krotov,F M S,18.625,981.5,1.75,2.255985159194097,0.5,1.1368934668134898,21.5,12.375,2.375,0.25,1.75,2.255985159194097,4.059491700609215,1.2613158047897741
7603,9079,Vyacheslav Litvinov,S,1.5,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0637190314009785,0.0637190314009785
7604,3098,Vyacheslav Malafeev,GK,2.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1163975019007921,0.1163975019007921
7605,2988,Vyacheslav Podberezkin,F M S,18.125,1046.875,0.75,0.7117350972257555,0.625,0.9988485100329852,8.875,14.25,1.75,0.25,0.75,0.7117350972257555,3.5152756471652538,2.393998894491233
7606,10035,Vyacheslav Yakimov,M,1.0,90.0,0.0,0.0171778760850429,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0171778760850429,0.2633900642395019,0.2462121844291687
7607,3113,Vyacheslav Zinkov,D M S,13.0,690.0,0.0,0.4124957025051117,0.0,0.1337107215076685,1.0,6.0,1.0,1.0,0.0,0.4124957025051117,1.4744083937257528,1.3406976787373424
7608,6407,Vágner,M S,11.0,379.3333333333333,1.3333333333333333,1.8097725914170344,0.3333333333333333,0.5477578073429564,8.0,5.333333333333333,1.3333333333333333,0.0,0.6666666666666666,1.3030424918979409,2.1244337813307843,0.9080979404971004
7609,3426,Vágner Love,F S,12.0,786.0,4.0,7.150673806667328,0.0,0.2828808352351188,24.0,8.0,1.0,0.0,4.0,7.150673806667328,6.157031215727329,0.1790632270276546
7610,2390,Víctor Camarasa,M S,21.0,1460.0,1.625,1.6342948799720034,1.25,1.6472663279855624,18.875,16.5,2.75,0.0,1.5,1.5391487752785906,4.6186075762379915,2.5020149035262875
7611,7380,Víctor Campuzano,F S,20.0,863.0,0.0,1.0856518410146236,0.0,0.1065298719331622,16.0,2.0,2.0,0.0,0.0,1.0856518410146236,1.632706753909588,0.5797777641564608
7612,5117,Víctor Díaz,D S,21.25,1523.25,0.5,0.7277669971808791,2.0,1.561909885611385,10.25,12.0,3.5,0.0,0.5,0.7277669971808791,2.9394532195292413,1.9021199480630457
7613,8500,Víctor García,M S,2.0,89.0,1.0,0.1396556496620178,0.0,0.1111664250493049,2.0,3.0,0.0,0.0,1.0,0.1396556496620178,0.3356984555721283,0.1280836164951324
7614,8086,Víctor Gómez,D M S,9.5,633.0,0.0,0.08255772152915596,0.0,0.2946067079901695,2.5,5.5,1.0,0.0,0.0,0.08255772152915596,0.9739716853946446,0.7208371795713902
7615,4812,Víctor Hugo Montaño,F S,9.0,258.0,1.0,0.6658810079097748,0.0,0.1330751720815897,6.0,2.0,2.0,0.0,1.0,0.6658810079097748,1.714456059038639,1.052919089794159
7616,947,Víctor Ibarbo,S,8.0,432.0,0.5,1.3147552320733666,0.75,1.2209780430421233,7.25,8.25,1.25,0.25,0.5,1.3147552320733666,3.09169033751823,1.4202766218222678
7617,5044,Víctor Laguardia,D,26.166666666666668,2261.0,1.3333333333333333,1.2645756360143423,1.1666666666666667,0.7230525088962168,10.0,5.0,6.333333333333333,0.3333333333333333,1.3333333333333333,1.2645756360143423,2.4693215542162457,2.1480969952729843
7618,6619,Víctor López,M,1.0,61.0,0.0,0.0685020387172699,1.0,0.1613090634346008,1.0,2.0,0.0,0.0,0.0,0.0685020387172699,0.2298111021518707,0.0
7619,4211,Víctor Pérez,M S,5.0,283.0,0.0,0.0165219604969024,0.0,0.12036426179111,1.0,4.0,0.0,0.0,0.0,0.0165219604969024,0.4253218006342649,0.381040871143341
7620,2471,Víctor Rodríguez,M S,27.5,1743.0,2.0,2.4043103735893965,1.25,2.5292875485029076,27.75,23.0,2.0,0.0,2.0,2.4043103735893965,6.460623306455091,2.779085992369801
7621,2298,Víctor Ruiz,D S,24.857142857142858,2130.714285714286,0.7142857142857143,0.9561815140768886,0.5714285714285714,0.3928870163591845,5.0,2.7142857142857144,6.714285714285714,0.42857142857142855,0.7142857142857143,0.9561815140768886,4.938536020794085,4.744988426566124
7622,2113,Víctor Sánchez,M S,28.0,2096.3333333333335,0.8333333333333334,1.1080096997320652,2.5,1.5010404381901026,15.166666666666666,15.833333333333334,10.833333333333334,0.5,0.8333333333333334,1.1080096997320652,5.890457592438906,4.242789527711769
7623,1705,Víctor Valdés,GK S,15.0,1312.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.1351181846112013,1.1351181846112013
7624,2111,Víctor Álvarez,D S,19.5,1548.6666666666667,0.3333333333333333,0.7714335600224634,1.3333333333333333,1.4155616600376864,10.5,13.0,4.0,0.0,0.3333333333333333,0.7714335600224634,3.887069122555355,2.460770563222468
7625,734,Wahbi Khazri,F M S,22.11111111111111,1612.888888888889,6.222222222222222,5.163606099784374,2.6666666666666665,3.200481552941104,48.55555555555556,34.77777777777778,5.888888888888889,0.3333333333333333,4.444444444444445,3.643415802882777,6.6397600537166,2.0815888746745057
7626,10054,Wahidullah Faghir,S,4.0,98.0,1.0,0.2283966168761253,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.2283966168761253,0.2809088751673698,0.0525122582912445
7627,9863,Wajdi Kechrida,D M S,14.0,766.0,0.0,0.2648331969976425,0.0,0.4607058670371771,6.0,10.0,0.0,0.0,0.0,0.2648331969976425,1.205944713205099,0.7716019786894321
7628,5226,Walace,M,19.833333333333332,1431.8333333333333,0.5,0.47055548010393977,0.5,0.731532046260933,15.666666666666666,10.5,3.3333333333333335,0.16666666666666666,0.5,0.47055548010393977,4.021401917717109,3.3161956015974283
7629,106,Waldemar Anton,D M S,22.4,1942.2,0.6,1.085196791961789,0.4,0.49575327690690757,14.4,4.8,2.4,0.0,0.6,1.085196791961789,4.680927001312375,4.26614191364497
7630,7525,Waldo Rubio,M S,13.0,581.6666666666666,0.6666666666666666,0.8685281462967396,0.6666666666666666,0.5307475474352638,12.666666666666666,7.666666666666667,2.6666666666666665,0.0,0.3333333333333333,0.6207689320047697,1.5246206127728026,0.4583429681758086
7631,3458,Walid Mesloub,F M S,27.333333333333332,1952.6666666666667,0.3333333333333333,1.767350010573864,3.0,4.297388605773449,29.0,54.666666666666664,2.0,0.6666666666666666,0.3333333333333333,1.767350010573864,8.437360118453702,4.827079296422501
7632,1202,Wallace,D S,18.8,1441.4,0.4,0.6979479752480984,0.0,0.119248048402369,9.0,2.4,3.6,0.4,0.4,0.6979479752480984,3.0338833168148995,2.8346490293741224
7633,2055,Wallace Oliveira,D S,6.0,156.0,0.0,0.0824274043552577,1.0,0.1131017450243234,5.0,4.0,1.0,0.0,0.0,0.0824274043552577,0.2936753663234412,0.2035645092837512
7634,3644,Wallyson Mallmann,M S,14.0,697.0,0.0,0.8910693628713489,2.0,0.6993773337453604,13.0,8.0,3.0,0.0,0.0,0.8910693628713489,1.5608011167496445,1.3307976936921475
7635,5652,Walter Benítez,GK,24.666666666666668,2210.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,3.092978968595465,3.092978968595465
7636,1625,Walter Bressan,GK,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154819218441843,0.0154819218441843
7637,3850,Walter Gargano,M S,24.0,1498.0,0.0,0.0817470457404851,1.0,2.0823998684063554,5.0,22.0,6.0,0.0,0.0,0.0817470457404851,5.50446436367929,4.701306673698127
7638,5052,Walter Montoya,F,2.5,93.0,0.0,0.05059439502656455,0.0,0.1736689023673534,1.5,1.0,0.0,0.0,0.0,0.05059439502656455,0.23138615395873785,0.0157604180276393
7639,2450,Wanderson,M S,21.88888888888889,1223.0,3.4444444444444446,3.4847699659359126,1.8888888888888888,2.3447311999690204,43.77777777777778,23.77777777777778,1.7777777777777777,0.0,3.3333333333333335,3.3171532277224793,7.76906763172398,3.186921641127103
7640,8633,Waniss Taibi,M S,2.0,58.0,0.0,0.0367799066007137,0.0,0.0093402741476893,0.5,0.5,0.5,0.0,0.0,0.0367799066007137,0.0844450639560818,0.0751047888770699
7641,9491,Warmed Omari,D S,14.0,1005.0,0.0,0.2340896688401699,0.0,0.1945988424122333,4.0,3.0,3.0,0.0,0.0,0.2340896688401699,5.557628285139799,5.537355672568083
7642,8688,Warren Tchimbembé,M S,10.0,288.5,0.0,0.1537262825295329,0.0,0.04521912336349485,3.0,0.5,0.0,0.0,0.0,0.1537262825295329,1.217341641895473,1.0183962350711226
7643,8808,Wataru Endo,M,24.0,2146.0,2.0,1.6877028322778642,2.5,1.4638575606513768,22.0,17.0,3.0,0.0,2.0,1.6877028322778642,10.080181263387203,8.606920969672501
7644,509,Wayne Hennessey,GK,18.166666666666668,1618.1666666666667,0.0,0.0,0.0,0.0810085314636429,0.0,0.6666666666666666,0.5,0.0,0.0,0.0,0.9609351853529612,0.8880847052981456
7645,629,Wayne Rooney,F M,29.25,2284.25,8.75,8.048663701862097,4.5,3.4376347716897726,62.0,39.5,5.5,0.25,7.25,6.145741546526551,12.207461818819866,5.0822593229822814
7646,719,Wayne Routledge,F M S,24.75,1600.25,2.0,2.6382757308892906,0.75,1.6163414262700826,18.25,21.75,1.5,0.25,2.0,2.6382757308892906,5.577335450332612,1.9832954974845052
7647,2332,Weligton,D,21.0,1815.3333333333333,0.0,0.1256018696973721,1.0,0.5456435413410267,3.0,3.0,6.333333333333333,0.6666666666666666,0.0,0.1256018696973721,2.0266797424604497,1.850444198275606
7648,4047,Wellington,M S,31.0,1995.0,0.0,2.4258357994258404,2.0,2.763124596327544,21.0,21.0,6.0,0.0,0.0,2.4258357994258404,6.61840046197176,3.2315135579556227
7649,8984,Wendel,M,16.0,1287.0,2.5,1.5923598478548229,2.0,2.2323042852804065,30.5,20.0,2.0,0.0,2.5,1.5923598478548229,11.27301142923534,8.302452836185694
7650,185,Wendell,D S,26.571428571428573,2133.714285714286,1.0,1.2566442392500383,1.4285714285714286,1.514879435300827,13.714285714285714,18.142857142857142,6.142857142857143,0.5714285714285714,0.5714285714285714,0.7153866720784988,7.648087232506701,6.243571024388075
